Title	URL	Assignees	Status	Estimated size	Real size
Uprobe Analysis: Frontend Show Uprobe Events	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/122	luca-dot-sh	Feature Archive	2	-1
Frontend: Display File Descriptor Metrics	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/208		Feature Archive	2	2
Activation with app package name	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/219	fhilgers	Feature Archive	5	5
fd-tracking: increase accuracy of gathered data	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/222	der-whity, fhilgers	Feature Archive	3	3
Investigate blocking calls	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/230	fhilgers	Feature Archive	2	1
Uprobe: expand client library	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/183	ffranzgitHub	Feature Archive	3	-1
Detecting Blocking Operations	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/238	fhilgers	Feature Archive	2	2
Uprobe Analysis: User defined hooks	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/195	Mr-Kanister	Feature Archive	-1	-1
EPIC: uprobe	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/19		Feature Archive	8	-1
Brain Storming eBPF Use Cases	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/1	BenediktZinn, der-whity, ffranzgitHub, fhilgers, luca-dot-sh, Mr-Kanister	Feature Archive	2	0
Deliverable: Demo Day Slide	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/228	alinawlo, tamemo99	Feature Archive	2	2
Frontend: Garbage Collection	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/241	luca-dot-sh	Feature Archive	3	3
Integrate better product simulation	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/235	luca-dot-sh	Feature Archive	2	2
Prototype for overlay mode	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/178	luca-dot-sh	Feature Archive	3	8
Deliverable: Demo Video	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/227	Mr-Kanister	Feature Archive	5	5
bugfix - Vizualisation Disappearing	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/204	luca-dot-sh	Feature Archive	2	1
bugfix - Scrolling functionality in the UI	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/205	luca-dot-sh	Feature Archive	2	2
Actor Refactor	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/164	fhilgers	Feature Archive	1	1
Aggregate Data Points in Background for Efficient Processing	https://github.com/amosproj/amos2024ws03-android-zero-instrumentation/issues/158	BenediktZinn, Mr-Kanister	Feature Archive	2	3
