Title	Assignees	Status
Helping Coordinate the team meeting		Done
Register to miro		In Progress
Helping to set up the first IP meeting		In Progress
Ask team about homework (e.g T-shirt link)		Todo
Assist in creating team processes (Sinatra Doctrine)		Todo
